
  0%|                                                                                                                       | 0/1425 [00:00<?, ?it/s]
[INFO]: Epoch 1 of 1



















































































100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████▌| 1420/1425 [02:49<00:00,  8.48it/s]
Validation
labels_int: tensor(21.) : _AzPos_290_ElPos_20.npz
labels_int: tensor(9.) : _AzPos_050_ElPos_20.npz
labels_int: tensor(5.) : _AzPos_030_ElPos_20.npz
labels_int: tensor(2.) : AzPos_030_ElPos_000.npz
labels_int: tensor(20.) : _AzPos_340_ElPos_45.npz
labels_int: tensor(24.) : _AzPos_340_ElPos_20.npz
labels_int: tensor(23.) : AzPos_050_ElPos_000.npz
labels_int: tensor(7.) : AzPos_010_ElPos_-20.npz
labels_int: tensor(10.) : _AzPos_070_ElPos_20.npz
labels_int: tensor(4.) : AzPos_040_ElPos_-45.npz
labels_int: tensor(0.) : AzPos_320_ElPos_-45.npz
labels_int: tensor(13.) : AzPos_270_ElPos_000.npz
labels_int: tensor(11.) : _AzPos_300_ElPos_20.npz
labels_int: tensor(14.) : AzPos_040_ElPos_000.npz
labels_int: tensor(27.) : _AzPos_040_ElPos_45.npz
labels_int: tensor(16.) : _AzPos_320_ElPos_20.npz
labels_int: tensor(19.) : _AzPos_010_ElPos_60.npz
labels_int: tensor(5.) : _AzPos_030_ElPos_20.npz
labels_int: tensor(5.) : _AzPos_030_ElPos_20.npz
labels_int: tensor(17.) : _AzPos_060_ElPos_20.npz
labels_int: tensor(1.) : AzPos_040_ElPos_-20.npz
labels_int: tensor(3.) : AzPos_090_ElPos_-20.npz
labels_int: tensor(25.) : _AzPos_060_ElPos_60.npz
labels_int: tensor(8.) : AzPos_330_ElPos_000.npz
labels_int: tensor(18.) : _AzPos_270_ElPos_45.npz
labels_int: tensor(26.) : _AzPos_060_ElPos_45.npz
labels_int: tensor(15.) : AzPos_350_ElPos_000.npz
labels_int: tensor(12.) : _AzPos_290_ElPos_60.npz
labels_int: tensor(22.) : AzPos_080_ElPos_000.npz
labels_int: tensor(6.) : AzPos_030_ElPos_-45.npz
labels_int: tensor(6.) : AzPos_030_ElPos_-45.npz
